1											
2											
3											
4											
5		2	6			3	5	4		1	
6						1	2			3	
7											
8	3	1				2		4			
9											
10											
11											
12											
13											
14			3				2	4		1	
15											
16											
17											
18											
19											
20											
21											
22											
23											
24											
25											
26											
27											
28											
29											
30										1	
31											
32											
33		2					1				
34											
35											
36											
37											
38										1	
39											
40											
41											
42		1	3							2	
43				5		1	3	2		4	
44											
45											
46											
47											
48										1	
49											
50											
51											
52		1								2	
53											
54										1	
55											
56											
57											
58											
59		1	5			2	4	6		3	
60											
61											
62		1				2		3			
63		1									
64											
65											
66											
67		3	2			6	5	4		1	
68		1				3		2			
69											
70											
71											
72											
73											
74											
75											
76											
77											
78						2		3		1	
79		1				2	3			4	
80											
81											
82											
83		1				2	3			4	
84											
85											
86		2		1		3				4	
87											
88											
89											
90											
91											
92						1	2				
93											
94											
95		1	2								
96						2	1				
97											
98		1	2								
99											
100											
101		2				1					
102											
103			1								
104											
105		1								2	
106											
107											
108											
109		1				3	4			2	
110						2	1		3		
111											
112											
113											
114											
115											
116											
117											
118											
119											
120						2			1		
121	1	6		4	5	2	3		7	1	
122											
123											
124											
125	2						1				
126											
127											
128		1				3	2				
129											
130											
131											
132							1				
133											
134										1	
135											
136											
137											
138											
139							1			2	
140											
141		2	4			1	5	3			
142											
143											
144											
145	2									1	
146											
147	1	2	6			4	3	5			
148		1	2			3		4			
149											
150		1	5			2	3	6		4	
151											
152											
153		3	5			1	4			2	
154											
155	1				1						
156		1				2					
157	1	2				3					
158											
159											
160											
161											
162											
163											
164											
165											
166											
167											
168											
169											
170	1	1				1	1				
171										1	
172											
173	1	2				3					
174											
175	1						2				
176											
177											
178											
179											
180											
181				1	2				3		
182											
183		1				2	3			4	
184											
185											
186											
187											
188											
189											
190											
191											
192											
193											
194											
195	1	5		2	3	4					
196											
197											
198											
199											
200											
201		1	3	6	8	2	5	4	8		
202		2				1					
203											
204											
205		1	3			2		4			
206		2	3	4					5	1	
207											
208											
209						1	2				
210											
211											
212	1										
213	1										
214											
215											
216	5		4				2	3		1	
217											
218	1			2		1	1	3			
219											
220											
221											
222											
223											
224											
225		1	1			1	1	1			
226						1					
227											
228											
229											
230											
231											
232											
233											
234											
235											
236											
237						1	2				
238											
239											
240						1	2				
241	1										
242											
243											
244		1	2			1		2			
245											
246	1						3	2			
247											
248											
249											
250											
251											
252	1										
253											
254											
255											
256	1								2		
257											
258											
259						2					
260											
261											
262											
263											
264							1			1	
265											
266											
267											
268											
269											
270											
271											
272		1	2	3	4	1	2	3	4	1	
273											
274											
275						1					
276		1	2		1	1		2	1		
277											
278											
279											
280											
281											
282											
283											
284											
285											
286											
287		1	2			1	3	2			
288											
289											
290											
291					1				2		
292							1				
293						1	2		3		
294											
295	1										
296											
297											
298				1		1	1	2		1	
299							1				
300										1	
301											
302						1	1	1	1		
303											
304											
305											
306										1	
307											
308											
309											
310											
311											
312											
313											
314											
315			1					1			
316								1			
317											
318											
319											
320											
321											
322											
323											
324											
325											
326											
327											
328											
329											
330											
331											
332											
333											
334											
